267,Special-Karte der Vereinicten Staaten von Nord-Amerika.,"Smith, J. Calvin (John Calvin) | Th. Fischer",1850,,,General Note: Relief shown by hachures.,,still image,,"Druck u. Verlag von Th. Fischer,",Cassel :,http://digitalcollections.nypl.org/items/f2666370-c52a-012f-e37d-3c075448cc4b
928,Letter,"Emmet, Thomas Addis, 1828-1919 | Hornblower, Josiah",1765-12-31,,"Copy of a letter to David Ogden, in which he sent a statement of the conversation that passed between them at his house the summer before, concerning the ferries of Newark, in the course of which Ogden got the impression that Stephen Crane had spoken disparagingly of Newark and its ferries; also sends, in a postscript, a copy of the certificate delivered to Mr. Woodruff and signed by Col. Schuyler and himself, which stated that neither had ever heard Stephen Crane say he would advertise any thing disparaging to the Newark road or ferries.",,,text,,,"Second River, Belleville, N.J.",http://digitalcollections.nypl.org/items/d631c5c0-c52d-012f-3a78-58d385a7bc34
2074,"Trommler, 1512","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: FRANCE  Landsknecht Drummer, 1512   (Marbot)",Military uniforms | History | Drums | Mercenaries (Soldiers) | German,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/5dc655c0-c52f-012f-2820-58d385a7bc34
2108,"Guard of Emperor Rudolph II,  1600  after Jacques de Gheyn    (Racinet)","Vinkhuijzen, Hendrik Jacobus | Gheyn, Jacques de (1596-1641)",,English,,"General Note: Title from the subtitle: Guard of Emperor Rudolph II,  1600  after Jacques de Gheyn    (Racinet)",Military uniforms | History | Drums | guards,still image,,,Amsterdam,http://digitalcollections.nypl.org/items/6392d3c0-c52f-012f-277c-58d385a7bc34
2111,Suta boum pulso simul  mea Tympana pel  [1600],"Vinkhuijzen, Hendrik Jacobus | Gheyn, Jacques de (1596-1641)",,English,,General Note: (After Engraving by de Gheyn of a  Drummer)   c. 1600,Military uniforms | History | Drums,still image,lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/63fc6120-c52f-012f-a076-58d385a7bc34
2206,Tambour und Pfeiffer. 1650,"Vinkhuijzen, Hendrik Jacobus | Gerasch, Franz (b. 1823)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Flutes,still image,,,Amsterdam,http://digitalcollections.nypl.org/items/75270560-c52f-012f-f324-58d385a7bc34
2290,Regiment Bürkli. 1691-1699,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Soldiers | Austrian,still image,watercolor,,Amsterdam,http://digitalcollections.nypl.org/items/83e3df80-c52f-012f-bc10-58d385a7bc34
2302,Linie Infanterie. 1696,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Infantry | Austrian,still image,halftone photographic prints -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/85f27a30-c52f-012f-d151-58d385a7bc34
2314,Linie Infanterie Dragoner [?],"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Standards (Identifying artifacts) | Soldiers | Austrian,still image,halftone photographic prints -- hand-colored,,Amsterdam,http://digitalcollections.nypl.org/items/87f4e550-c52f-012f-04fe-58d385a7bc34
2315,Oesterreich-Ungarn. Spielleute der Infanterie : (1) Pfeifer vom Rgt. Deutschmeister; (2) Trommler vom Rgt. Nigrelli.  (Anfang des 18. Jahrhunderts),"Vinkhuijzen, Hendrik Jacobus | Knötel, Richard (1857-1914)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Wind instruments,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/885d5570-c52f-012f-8ebd-58d385a7bc34
2319,Oesterreich-Ungarn. Spielleute der Reiterrei : (1) Regiments-Trompeter und Regiments-Pauker eines Kürassier-Regiments; (2) Dragoner-Trommler vom Regiment Schönborn. (Anfang des 18. Jahrhunderts),"Vinkhuijzen, Hendrik Jacobus | Knötel, Richard (1857-1914)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Cavalry | Brass instruments,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/8920f320-c52f-012f-0a92-58d385a7bc34
2328,Spielleute der Infanterie,"Vinkhuijzen, Hendrik Jacobus | Escher, Albert von (1839-1905)",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,watercolor,,Amsterdam,http://digitalcollections.nypl.org/items/8a42d0a0-c52f-012f-9197-58d385a7bc34
2332,Linie Infanterie. 1700,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/8b11fc20-c52f-012f-6d8f-58d385a7bc34
2335,Trompeter [und] Pauker ..  1700,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Brass instruments,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/8b661da0-c52f-012f-e90a-58d385a7bc34
2337,Cavalerie Pauker und Trompeter. 1700,"Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Brass instruments,still image,chromolithograph SEE ALSO color lithograph,,Amsterdam,http://digitalcollections.nypl.org/items/8bd55b90-c52f-012f-9a21-58d385a7bc34
2361,"Oesterreich-Ungarn. Die Kaiserl. Reiter-Reg-ter spanischer Nation: [1]Hauptmann, Trommler, Grenadier, Dragoner vom Dragoner-Regiment Galbes; [2] Dragoner, Kürassier vom Kür.-Rgt. Cordova; [3] Unteroffizier der Karabinier-Komp. vom Kür.-Rgt. Morras-Onnobia","Vinkhuijzen, Hendrik Jacobus",,English,,Ownership and Custodial History Note: Draper Fund,Military uniforms | History | Drums | Cavalry | Military personnel | Spanish,still image,wood engraving -- color,,Amsterdam,http://digitalcollections.nypl.org/items/8f4581a0-c52f-012f-7896-58d385a7bc34
2416,"Tambour von Inf. Rgt. Nigrelli, 1709","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Drummer, infantry regiment Nigrelli (later zum Jungen) 1709",Military uniforms | History | Drums,still image,Watercolors,,Amsterdam,http://digitalcollections.nypl.org/items/966f2620-c52f-012f-89ab-58d385a7bc34
2445,"Tambour, 1710","Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Infantry drummer, 1710 (Ottenfeld)",Military uniforms | History | Drums | Austrian,still image,Photomechanicla prints,,Amsterdam,http://digitalcollections.nypl.org/items/9a555020-c52f-012f-4ebe-58d385a7bc34
2458,Tambour v. Dragoner Regt. Galbes,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Dragoon regiment Galbes, Drummer, 1712",Military uniforms | History | Drums | Austrian,still image,Watercolors,,Amsterdam,http://digitalcollections.nypl.org/items/9ca15b00-c52f-012f-7711-58d385a7bc34
2469,Tambour v. Dragoner R. Schönborn 1716,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Drummer, dragoon regiment Schönborn, 1716",Military uniforms | History | Drums | Austrian,still image,Watercolors,,Amsterdam,http://digitalcollections.nypl.org/items/9e59f3b0-c52f-012f-c77a-58d385a7bc34
2503,Kürassier Regiments Pauker 1722,"Vinkhuijzen, Hendrik Jacobus",,English,,"General Note: Cuirassier kettle drummer, 1722",Military uniforms | History | Timpanists,still image,Watercolors,,Amsterdam,http://digitalcollections.nypl.org/items/a3fe1060-c52f-012f-d293-58d385a7bc34
