53,Carte physique et politique de l'Amérique septentrionale,"Brué, Adrien Hubert (1786-1832 ) | Goujon, J.",1821 [i.e. 1825],,,"Statement of Responsibility Note: par A.H. Brué, géographe de S.A.R. Monsieur.",,still image,,"Chez J. Goujon, editeur-propriétaire, rue du Bac, no. 6, près le Pont royal",Paris :,http://digitalcollections.nypl.org/items/784fed80-c52a-012f-20bb-3c075448cc4b
434,"Map of the city of St. Louis, Mo., 1861.","Fischer, J. H.",1861,,,"General Note: Shows wards, some landowners' names, and changes in city limits.",Administrative and political divisions,cartographic,,"Published by J.H. Fischer, Franklin Avenue corner of 23th [sic] Street",[St. Louis],http://digitalcollections.nypl.org/items/5733b530-c52b-012f-57a1-3c075448cc4b
436,"The Province of New Jersey, divided into East and West, commonly called the Jerseys","Faden, William (1750?-1836)",1778,,,"Statement of Responsibility Note: engraved & published by Wm. Faden, Charing  Cross, December 1st, 1777 ; Croisey, sculpt.",Administrative and political divisions,still image,,"Chez les Srs. Perrier et Verrier, eleves et successeurs de M. Julien ...",Paris,http://digitalcollections.nypl.org/items/5a33e9f0-c52b-012f-f738-3c075448cc4b
440,New Jersey,"Finley, A. (Anthony) | Gordon, Thomas Francis (1787-1860 ) | Young, J. H. (James Hamilton) (fl.  1757-1797 )",1834,,,Statement of Responsibility Note: engraved by J.H. Young.,Administrative and political divisions,still image,,Published by A. Finley,Philadelphia,http://digitalcollections.nypl.org/items/5c4be2d0-c52b-012f-8542-3c075448cc4b
469,"Industrial & political map of Pennsylvania : exhibiting the population, the principal resources of each county, and the valuation of property : the several Congressional districts, and the vote for presidential electors in 1840.","Biddle, Edward C. (1808-1893 )",1844,,,General Note: National Endowment for the Humanities Grant for Access to Early Maps of the Middle Atlantic Seaboard.,Agricultural resources | Mines and mineral resources | Natural resources,still image,,Edward V. Biddle?,Philadelphia?,http://digitalcollections.nypl.org/items/73ad1660-c52b-012f-3bad-3c075448cc4b
523,Map of the city of Washington in the District of Columbia : established as the permanent seat of the government of the UnitedStates of America.,"Stone, William James (1798-1865)",1839,,,,Administrative and political divisions,still image,,s.n.,Washington?,http://digitalcollections.nypl.org/items/955bd3f0-c52b-012f-3713-3c075448cc4b
620,Letter to Caesar Rodney,"Emmet, Thomas Addis, 1828-1919 | Rodney, Caesar, 1728-1784 | Vining, John",1766-09-08,,"Thanks him for his political epistle sent by Dr McCall ; fears he can not influence the obstinacy of his brother; when B. Franklin sounded the ministry respecting a change of government he learned that if he were hardy enough to offer his petition again, it would be noticed in a very different way; effect this should have on R. H ; other matters spoken of touching Mr. Stout, McGow, Andrews, and Peters and Duché.",,,text,,,"Dover, Del.",http://digitalcollections.nypl.org/items/28dc2140-c52d-012f-a3da-58d385a7bc34
670,Document,"Emmet, Thomas Addis, 1828-1919 | Massachusetts (Province). House of Representatives",1773-05-28,,"Acknowledging receipt of resolutions from Virginia House of Burgesses, dated March 12, 1773, requesting appointment of a Committee of Correspondence; committee of fifteen appointed; to obtain information of proceedings of British government that affect the colonies; to correspond with the other colonies concerning these; to lay before the House the results of their investigations; to investigate the authority of the Rhode Island Court of Enquiry claiming the power of transporting political offenders beyond seas, for trial; further, to reply to the letters from Virginia and Rhode Island, and to address a circular letter to the other colonial Assemblies. Committee: the Speaker, Samuel Adams, John Hancock, William Phillips, William Heath, Joseph Hawley, James Warren, Richard Derby, Jr., Elbridge Gerry, Jerathmeel Bowers, Jedediah Foster, Daniel Leonard, Thomas Gardner, Jonathan Greenleaf, James Prescott. In the handwriting of Thomas Cushing. Attested: ""A true copy, Sam1 Adams, Cler."".",,,text,,,"Boston, Mass.",http://digitalcollections.nypl.org/items/43733c60-c52d-012f-4382-58d385a7bc34
768,Letter to the Selectmen of Salem,"Emmet, Thomas Addis, 1828-1919 | Peabody, Nathaniel",1782-04-11,,"Acknowledges receipt of letter of 6th inst. informing him of his appointment to serve with Philip White and Lieutenant Edward Morse as referee in an action brought by Esq. Dow, Captain Dow, Mr. Woodman and one Fletcher against the town of Salem; at the same time they ask him not to accept the trust because of his opinions respecting civil government; in answer he says he has never concealed his belief as a citizen, that ""tyranny in religion cannot long exist in Civil republics""; as a politician, that he has ""no right to intermeddle with religious disputes any farther than shall be necessary to prevent a subversion of Civil Government, & to support the same""; as a divine, that he ""ought not to intermeddle with the politics of a State that does not infringe the rights of conscience""; he therefore cheerfully accords with their intimation, and promises to decline the trust, if notified to attend the conference.",,,text,,,"Atkinson, N.H.",http://digitalcollections.nypl.org/items/7fd66f70-c52d-012f-e400-58d385a7bc34
796,"Letter to Jonathan Dayton, Elizabethtown, N. J.","Emmet, Thomas Addis, 1828-1919 | Dayton, Jonathan | Otis, Samuel Alleyne",1789-05-19,,"Incloses address to the President by the Senate; asks advice about putting his son in the academy at Elizabethtown of which Dayton is a trustee; has conversed with ""E -- r""[Jonathan Elmer] upon New Jersey politics; ""he is cautious & reserved."".",,,text,,,New York,http://digitalcollections.nypl.org/items/90603680-c52d-012f-317c-58d385a7bc34
